Date	Date (UTC)	Month	Day	Hour (UTC)	wetweight_g
7.79	1/8/13	1	8	19	2.45E-06
7.83	1/8/13	1	8	20	2.47E-06
7.87	1/8/13	1	8	21	2.50E-06
7.92	1/8/13	1	8	22	2.52E-06
7.96	1/8/13	1	8	23	2.55E-06
8	1/9/13	1	9	0	2.57E-06
8.04	1/9/13	1	9	1	2.60E-06
8.08	1/9/13	1	9	2	2.62E-06
8.12	1/9/13	1	9	3	2.65E-06
8.17	1/9/13	1	9	4	2.67E-06
8.21	1/9/13	1	9	5	2.70E-06
8.25	1/9/13	1	9	6	2.72E-06
8.29	1/9/13	1	9	7	2.75E-06
8.33	1/9/13	1	9	8	2.78E-06
8.37	1/9/13	1	9	9	2.80E-06
8.42	1/9/13	1	9	10	2.83E-06
8.46	1/9/13	1	9	11	2.85E-06
8.5	1/9/13	1	9	12	2.88E-06
8.54	1/9/13	1	9	13	2.91E-06
8.58	1/9/13	1	9	14	2.93E-06
8.62	1/9/13	1	9	15	2.96E-06
8.67	1/9/13	1	9	16	2.99E-06
8.71	1/9/13	1	9	17	3.02E-06
8.75	1/9/13	1	9	18	3.04E-06
8.79	1/9/13	1	9	19	3.07E-06
8.83	1/9/13	1	9	20	3.10E-06
8.87	1/9/13	1	9	21	3.13E-06
8.92	1/9/13	1	9	22	3.15E-06
8.96	1/9/13	1	9	23	3.18E-06
9	1/10/13	1	10	0	3.21E-06
9.04	1/10/13	1	10	1	3.24E-06
9.08	1/10/13	1	10	2	3.27E-06
9.12	1/10/13	1	10	3	3.30E-06
9.17	1/10/13	1	10	4	3.33E-06
9.21	1/10/13	1	10	5	3.35E-06
9.25	1/10/13	1	10	6	3.38E-06
9.29	1/10/13	1	10	7	3.41E-06
9.33	1/10/13	1	10	8	3.44E-06
9.37	1/10/13	1	10	9	3.47E-06
9.42	1/10/13	1	10	10	3.50E-06
9.46	1/10/13	1	10	11	3.53E-06
9.5	1/10/13	1	10	12	3.56E-06
9.54	1/10/13	1	10	13	3.59E-06
9.58	1/10/13	1	10	14	3.62E-06
9.62	1/10/13	1	10	15	3.65E-06
9.67	1/10/13	1	10	16	3.68E-06
9.71	1/10/13	1	10	17	3.71E-06
9.75	1/10/13	1	10	18	3.74E-06
9.79	1/10/13	1	10	19	3.77E-06
9.83	1/10/13	1	10	20	3.80E-06
9.87	1/10/13	1	10	21	3.83E-06
9.92	1/10/13	1	10	22	3.86E-06
9.96	1/10/13	1	10	23	3.89E-06
10	1/11/13	1	11	0	3.92E-06
10.04	1/11/13	1	11	1	3.95E-06
10.08	1/11/13	1	11	2	3.98E-06
10.12	1/11/13	1	11	3	4.01E-06
10.17	1/11/13	1	11	4	4.04E-06
10.21	1/11/13	1	11	5	4.08E-06
10.25	1/11/13	1	11	6	4.11E-06
10.29	1/11/13	1	11	7	4.14E-06
10.33	1/11/13	1	11	8	4.18E-06
10.37	1/11/13	1	11	9	4.21E-06
10.42	1/11/13	1	11	10	4.24E-06
10.46	1/11/13	1	11	11	4.27E-06
10.5	1/11/13	1	11	12	4.30E-06
10.54	1/11/13	1	11	13	4.33E-06
10.58	1/11/13	1	11	14	4.36E-06
10.62	1/11/13	1	11	15	4.38E-06
10.67	1/11/13	1	11	16	4.40E-06
10.71	1/11/13	1	11	17	4.42E-06
10.75	1/11/13	1	11	18	4.44E-06
10.79	1/11/13	1	11	19	4.46E-06
10.83	1/11/13	1	11	20	4.47E-06
10.87	1/11/13	1	11	21	4.48E-06
10.92	1/11/13	1	11	22	4.49E-06
10.96	1/11/13	1	11	23	4.50E-06
11	1/12/13	1	12	0	4.51E-06
11.04	1/12/13	1	12	1	4.51E-06
11.08	1/12/13	1	12	2	4.51E-06
11.12	1/12/13	1	12	3	4.51E-06
11.17	1/12/13	1	12	4	4.51E-06
11.21	1/12/13	1	12	5	4.51E-06
11.25	1/12/13	1	12	6	4.51E-06
11.29	1/12/13	1	12	7	4.50E-06
11.33	1/12/13	1	12	8	4.50E-06
11.37	1/12/13	1	12	9	4.50E-06
11.42	1/12/13	1	12	10	4.49E-06
11.46	1/12/13	1	12	11	4.49E-06
11.5	1/12/13	1	12	12	4.49E-06
11.54	1/12/13	1	12	13	4.49E-06
11.58	1/12/13	1	12	14	4.50E-06
11.62	1/12/13	1	12	15	4.50E-06
11.67	1/12/13	1	12	16	4.51E-06
11.71	1/12/13	1	12	17	4.52E-06
11.75	1/12/13	1	12	18	4.54E-06
11.79	1/12/13	1	12	19	4.55E-06
11.83	1/12/13	1	12	20	4.57E-06
11.87	1/12/13	1	12	21	4.59E-06
11.92	1/12/13	1	12	22	4.62E-06
11.96	1/12/13	1	12	23	4.64E-06
12	1/13/13	1	13	0	4.67E-06
12.04	1/13/13	1	13	1	4.69E-06
12.08	1/13/13	1	13	2	4.72E-06
12.12	1/13/13	1	13	3	4.75E-06
12.17	1/13/13	1	13	4	4.78E-06
12.21	1/13/13	1	13	5	4.82E-06
12.25	1/13/13	1	13	6	4.85E-06
12.29	1/13/13	1	13	7	4.89E-06
12.33	1/13/13	1	13	8	4.92E-06
12.37	1/13/13	1	13	9	4.96E-06
12.42	1/13/13	1	13	10	5.00E-06
12.46	1/13/13	1	13	11	5.03E-06
12.5	1/13/13	1	13	12	5.07E-06
12.54	1/13/13	1	13	13	5.11E-06
12.58	1/13/13	1	13	14	5.15E-06
12.62	1/13/13	1	13	15	5.19E-06
12.67	1/13/13	1	13	16	5.23E-06
12.71	1/13/13	1	13	17	5.28E-06
12.75	1/13/13	1	13	18	5.32E-06
12.79	1/13/13	1	13	19	5.36E-06
12.83	1/13/13	1	13	20	5.40E-06
