Date	Date (UTC)	Month	Day	Hour (UTC)	shell_length (cm)
19	1/20/13	1	20	0	0.076066546
19.04	1/20/13	1	20	1	0.076212017
19.08	1/20/13	1	20	2	0.076357583
19.12	1/20/13	1	20	3	0.076503241
19.17	1/20/13	1	20	4	0.076648991
19.21	1/20/13	1	20	5	0.076794832
19.25	1/20/13	1	20	6	0.076940765
19.29	1/20/13	1	20	7	0.077086787
19.33	1/20/13	1	20	8	0.077232899
19.37	1/20/13	1	20	9	0.0773791
19.42	1/20/13	1	20	10	0.07752539
19.46	1/20/13	1	20	11	0.077671766
19.5	1/20/13	1	20	12	0.07781823
19.54	1/20/13	1	20	13	0.07796478
19.58	1/20/13	1	20	14	0.078111415
19.62	1/20/13	1	20	15	0.078258136
19.67	1/20/13	1	20	16	0.07840494
19.71	1/20/13	1	20	17	0.078551829
19.75	1/20/13	1	20	18	0.0786988
19.79	1/20/13	1	20	19	0.078845853
19.83	1/20/13	1	20	20	0.078992988
19.87	1/20/13	1	20	21	0.079140204
19.92	1/20/13	1	20	22	0.0792875
19.96	1/20/13	1	20	23	0.079434876
20	1/21/13	1	21	0	0.079582331
20.04	1/21/13	1	21	1	0.079729864
20.08	1/21/13	1	21	2	0.079877475
20.12	1/21/13	1	21	3	0.080025162
20.17	1/21/13	1	21	4	0.080172926
20.21	1/21/13	1	21	5	0.080320766
20.25	1/21/13	1	21	6	0.08046868
20.29	1/21/13	1	21	7	0.080616669
20.33	1/21/13	1	21	8	0.080764731
20.37	1/21/13	1	21	9	0.080912867
20.42	1/21/13	1	21	10	0.081061074
20.46	1/21/13	1	21	11	0.081209353
20.5	1/21/13	1	21	12	0.081357704
20.54	1/21/13	1	21	13	0.081506124
20.58	1/21/13	1	21	14	0.081654614
20.62	1/21/13	1	21	15	0.081803173
20.67	1/21/13	1	21	16	0.081951801
20.71	1/21/13	1	21	17	0.082100496
20.75	1/21/13	1	21	18	0.082249257
20.79	1/21/13	1	21	19	0.082398086
20.83	1/21/13	1	21	20	0.08254698
20.87	1/21/13	1	21	21	0.082695939
20.92	1/21/13	1	21	22	0.082844962
20.96	1/21/13	1	21	23	0.082994049
21	1/22/13	1	22	0	0.083143198
21.04	1/22/13	1	22	1	0.083292411
21.08	1/22/13	1	22	2	0.083441685
21.12	1/22/13	1	22	3	0.08359102
21.17	1/22/13	1	22	4	0.083740415
21.21	1/22/13	1	22	5	0.08388987
21.25	1/22/13	1	22	6	0.084039384
21.29	1/22/13	1	22	7	0.084188957
21.33	1/22/13	1	22	8	0.084338587
21.37	1/22/13	1	22	9	0.084488275
21.42	1/22/13	1	22	10	0.084638019
21.46	1/22/13	1	22	11	0.084787819
21.5	1/22/13	1	22	12	0.084937674
21.54	1/22/13	1	22	13	0.085087583
21.58	1/22/13	1	22	14	0.085237547
21.62	1/22/13	1	22	15	0.085387563
21.67	1/22/13	1	22	16	0.085537633
21.71	1/22/13	1	22	17	0.085687754
21.75	1/22/13	1	22	18	0.085837927
21.79	1/22/13	1	22	19	0.08598815
21.83	1/22/13	1	22	20	0.086138423
21.87	1/22/13	1	22	21	0.086288746
21.92	1/22/13	1	22	22	0.086439118
21.96	1/22/13	1	22	23	0.086589538
22	1/23/13	1	23	0	0.086740005
22.04	1/23/13	1	23	1	0.086890519
22.08	1/23/13	1	23	2	0.08704108
22.12	1/23/13	1	23	3	0.087191686
22.17	1/23/13	1	23	4	0.087342337
22.21	1/23/13	1	23	5	0.087493033
